inct_folder,formacao_mais_alta,qtd,nome_inct,area
135,Tecnologia_GNSS_no,Pós-Doutorado,9,INCT Tecnologia GNSS no suporte à Navegação Aérea,"Engenharias, Energias e Tecnologias da Informação"
136,Tecnologias_Ambientais_Para,Doutorado,47,INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Ciências Exatas e da Terra
137,Tecnologias_Ambientais_Para,Ensino Médio,1,INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Ciências Exatas e da Terra
138,Tecnologias_Ambientais_Para,Graduação,4,INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Ciências Exatas e da Terra
139,Tecnologias_Ambientais_Para,Livre-Docência,4,INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Ciências Exatas e da Terra
140,Tecnologias_Ambientais_Para,Mestrado,10,INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Ciências Exatas e da Terra
141,Tecnologias_Ambientais_Para,Pós-Doutorado,45,INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Ciências Exatas e da Terra
142,Tecnologias_Ecoeficientes_Avan,Doutorado,15,INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,"Engenharias, Energias e Tecnologias da Informação"
143,Tecnologias_Ecoeficientes_Avan,Graduação,1,INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,"Engenharias, Energias e Tecnologias da Informação"
144,Tecnologias_Ecoeficientes_Avan,Livre-Docência,9,INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,"Engenharias, Energias e Tecnologias da Informação"
145,Tecnologias_Ecoeficientes_Avan,Mestrado,6,INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,"Engenharias, Energias e Tecnologias da Informação"
146,Tecnologias_Ecoeficientes_Avan,Pós-Doutorado,17,INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,"Engenharias, Energias e Tecnologias da Informação"
147,Translacional_em_Medicina,Doutorado,12,INCT Translacional em Medicina,Ciências Biológicas
148,Translacional_em_Medicina,Livre-Docência,27,INCT Translacional em Medicina,Ciências Biológicas
149,Translacional_em_Medicina,Pós-Doutorado,41,INCT Translacional em Medicina,Ciências Biológicas
150,Virtual_da_Flora,Doutorado,78,INCT Virtual da Flora e dos Fungos,Ciências Biológicas
151,Virtual_da_Flora,Especialização,5,INCT Virtual da Flora e dos Fungos,Ciências Biológicas
152,Virtual_da_Flora,Graduação,3,INCT Virtual da Flora e dos Fungos,Ciências Biológicas
153,Virtual_da_Flora,Livre-Docência,7,INCT Virtual da Flora e dos Fungos,Ciências Biológicas
154,Virtual_da_Flora,Mestrado,12,INCT Virtual da Flora e dos Fungos,Ciências Biológicas
